epoch,total_loss,recon_loss,reg_loss,lr
1,0.994495,0.908528,0.085967,9.9999e-04
2,0.831028,0.778628,0.0524,9.9997e-04
3,0.733526,0.681512,0.052015,9.9996e-04
4,0.711353,0.643462,0.067891,9.9994e-04
5,0.640093,0.612579,0.027514,9.9993e-04
6,0.628758,0.587688,0.04107,9.9992e-04
7,0.62783,0.571735,0.056095,9.9990e-04
8,0.606903,0.561608,0.045295,9.9989e-04
9,0.602021,0.564453,0.037568,9.9988e-04
10,0.601719,0.548964,0.052755,9.9986e-04
11,0.589498,0.542544,0.046954,9.9985e-04
12,0.582188,0.537537,0.044651,9.9983e-04
13,0.579882,0.528464,0.051418,9.9982e-04
14,0.564556,0.519406,0.04515,9.9981e-04
15,0.571591,0.516454,0.055138,9.9979e-04
16,0.560247,0.51508,0.045167,9.9978e-04
17,0.5572,0.510472,0.046727,9.9976e-04
18,0.531464,0.504755,0.026709,9.9975e-04
19,0.548305,0.500682,0.047623,9.9974e-04
20,0.555685,0.498546,0.057139,9.9972e-04
21,0.539137,0.494558,0.044579,9.9971e-04
22,0.528046,0.485571,0.042475,9.9969e-04
23,0.533353,0.482924,0.050429,9.9968e-04
24,0.536029,0.48534,0.050689,9.9967e-04
25,0.504582,0.481836,0.022746,9.9965e-04
26,0.504243,0.473767,0.030477,9.9964e-04
27,0.508737,0.475238,0.033499,9.9963e-04
28,0.507803,0.473564,0.034239,9.9961e-04
29,0.497406,0.469547,0.02786,9.9960e-04
30,0.513708,0.466538,0.047171,9.9958e-04
31,0.515438,0.466672,0.048766,9.9957e-04
32,0.501488,0.465498,0.03599,9.9956e-04
33,0.517019,0.462128,0.054892,9.9954e-04
34,0.529276,0.460567,0.068708,9.9953e-04
35,0.511894,0.45976,0.052135,9.9951e-04
36,0.498031,0.460965,0.037067,9.9950e-04
37,0.503458,0.453822,0.049636,9.9949e-04
38,0.497263,0.454451,0.042812,9.9947e-04
39,0.503293,0.451121,0.052172,9.9946e-04
40,0.505353,0.450568,0.054785,9.9944e-04
41,0.485354,0.447686,0.037668,9.9943e-04
42,0.481815,0.444182,0.037634,9.9942e-04
43,0.487862,0.44741,0.040452,9.9940e-04
44,0.466258,0.443761,0.022497,9.9939e-04
45,0.478636,0.442063,0.036572,9.9938e-04
46,0.478619,0.439771,0.038848,9.9936e-04
47,0.479943,0.439677,0.040266,9.9935e-04
48,0.473761,0.438618,0.035143,9.9933e-04
49,0.4779,0.435152,0.042747,9.9932e-04
50,0.475452,0.437926,0.037526,9.9931e-04
