run_name,loss_fn,regularizer,kl_weight,mmd_weight,modality,classifier,cv_roc_auc,cv_auprc,cv_accuracy,cv_precision,cv_recall,cv_f1,cv_tn,cv_fp,cv_fn,cv_tp,full_roc_auc,full_auprc,full_tn,full_fp,full_fn,full_tp
mse_kl,mse,kl,1.0,10.0,cnv,rbf_svm,0.4625,0.7499,0.6725,0.7565,0.8453,0.7982,2.6,22.5,12.8,69.9,0.9523,0.9774,202,49,30,797
logcosh_kl,logcosh,kl,1.0,10.0,cnv,rbf_svm,0.5069,0.7874,0.6893,0.7734,0.8416,0.806,4.7,20.4,13.1,69.6,0.9556,0.9759,209,42,32,795
mse_mmd,mse,mmd,1.0,10.0,cnv,rbf_svm,0.4927,0.773,0.641,0.766,0.7653,0.7649,5.8,19.3,19.4,63.3,0.9215,0.9653,189,62,76,751
logcosh_mmd,logcosh,mmd,1.0,10.0,cnv,rbf_svm,0.5226,0.7823,0.6799,0.7866,0.8004,0.7931,7.1,18.0,16.5,66.2,0.9331,0.9667,201,50,72,755
mse_kl,mse,kl,1.0,10.0,cnv,linear_svm,0.4499,0.7452,0.5009,0.7496,0.5248,0.6167,10.6,14.5,39.3,43.4,0.5746,0.8068,141,110,385,442
logcosh_kl,logcosh,kl,1.0,10.0,cnv,linear_svm,0.468,0.7473,0.5167,0.7564,0.5441,0.6321,10.7,14.4,37.7,45.0,0.5964,0.8127,145,106,329,498
mse_mmd,mse,mmd,1.0,10.0,cnv,linear_svm,0.5173,0.7844,0.5269,0.7794,0.5357,0.6339,12.5,12.6,38.4,44.3,0.6088,0.8328,148,103,353,474
logcosh_mmd,logcosh,mmd,1.0,10.0,cnv,linear_svm,0.5067,0.7747,0.5445,0.7728,0.5743,0.6576,11.2,13.9,35.2,47.5,0.6209,0.8137,148,103,306,521
mse_kl,mse,kl,1.0,10.0,cnv,poly_svm,0.5121,0.7805,0.7458,0.7719,0.9492,0.8513,1.9,23.2,4.2,78.5,0.9811,0.9886,203,48,3,824
logcosh_kl,logcosh,kl,1.0,10.0,cnv,poly_svm,0.5258,0.7848,0.7319,0.7675,0.9334,0.8423,1.7,23.4,5.5,77.2,0.9747,0.9804,210,41,6,821
mse_mmd,mse,mmd,1.0,10.0,cnv,poly_svm,0.5366,0.7899,0.7022,0.7732,0.8659,0.8168,4.1,21.0,11.1,71.6,0.9595,0.9759,188,63,11,816
logcosh_mmd,logcosh,mmd,1.0,10.0,cnv,poly_svm,0.4973,0.779,0.7153,0.7675,0.9021,0.8292,2.5,22.6,8.1,74.6,0.9706,0.9832,181,70,9,818
mse_kl,mse,kl,1.0,10.0,cnv,sigmoid_svm,0.5396,0.7979,0.4545,0.7401,0.4437,0.554,12.3,12.8,46.0,36.7,0.6337,0.8283,91,160,475,352
logcosh_kl,logcosh,kl,1.0,10.0,cnv,sigmoid_svm,0.5127,0.783,0.4833,0.7639,0.4703,0.5814,13.2,11.9,43.8,38.9,0.6051,0.8145,101,150,487,340
mse_mmd,mse,mmd,1.0,10.0,cnv,sigmoid_svm,0.4784,0.7704,0.4991,0.7783,0.486,0.5963,13.6,11.5,42.5,40.2,0.5966,0.8139,111,140,456,371
logcosh_mmd,logcosh,mmd,1.0,10.0,cnv,sigmoid_svm,0.4808,0.7643,0.5,0.7741,0.4909,0.5993,13.3,11.8,42.1,40.6,0.5753,0.8085,108,143,450,377
mse_kl,mse,kl,1.0,10.0,cnv,random_forest,0.4905,0.7633,0.6678,0.7674,0.8137,0.7898,4.7,20.4,15.4,67.3,0.9737,0.9865,225,26,21,806
logcosh_kl,logcosh,kl,1.0,10.0,cnv,random_forest,0.5116,0.7798,0.6577,0.7653,0.7994,0.7814,4.8,20.3,16.6,66.1,0.9789,0.9892,225,26,14,813
logcosh_mmd,logcosh,mmd,1.0,10.0,cnv,random_forest,0.5183,0.779,0.668,0.7714,0.8055,0.787,5.4,19.7,16.1,66.6,0.9788,0.989,228,23,16,811
mse_mmd,mse,mmd,1.0,10.0,cnv,random_forest,0.5026,0.7703,0.6623,0.7662,0.8065,0.785,4.7,20.4,16.0,66.7,0.9764,0.9872,228,23,25,802
